                a        b        c        d        e        g        h        i        k        l        m        n        o        p        q        r        s        t        u        v        x        y        à        á        â        ã        è        é        ê        ì        í        ò        ó        ô        õ        ù        ú        ý        ă        đ        ĩ        ũ        ơ        ư        ạ        ả        ấ        ầ        ẩ        ẫ        ậ        ắ        ằ        ẳ        ẵ        ặ        ẹ        ẻ        ẽ        ế        ề        ể        ễ        ệ        ỉ        ị        ọ        ỏ        ố        ồ        ổ        ỗ        ộ        ớ        ờ        ở        ỡ        ợ        ụ        ủ        ứ        ừ        ử        ữ        ự        ỳ        ỵ        ỷ        ỹ
            0   ---------->     á - ư  -------->  0
            0   ---------->     á - ạ  -------->  0
            0   ---------->     á - ả  -------->  0
            0   ---------->     á - ấ  -------->  0
            0   ---------->     á - ầ  -------->  0
            0   ---------->     á - ẩ  -------->  0
            0   ---------->     á - ẫ  -------->  0
            0   ---------->     á - ậ  -------->  0
            0   ---------->     á - ắ  -------->  0
            0   ---------->     á - ằ  -------->  0
            0   ---------->     á - ẳ  -------->  0
            0   ---------->     á - ẵ  -------->  0
            0   ---------->     á - ặ  -------->  0
            0   ---------->     á - ẹ  -------->  0
            0   ---------->     á - ẻ  -------->  0
            0   ---------->     á - ẽ  -------->  0
            0   ---------->     á - ế  -------->  0
            0   ---------->     á - ề  -------->  0
            0   ---------->     á - ể  -------->  0
            0   ---------->     á - ễ  -------->  0
            0   ---------->     á - ệ  -------->  0
            0   ---------->     á - ỉ  -------->  0
            0   ---------->     á - ị  -------->  0
            0   ---------->     á - ọ  -------->  0
            0   ---------->     á - ỏ  -------->  0
            0   ---------->     á - ố  -------->  0
            0   ---------->     á - ồ  -------->  0
            0   ---------->     á - ổ  -------->  0
            0   ---------->     á - ỗ  -------->  0
            0   ---------->     á - ộ  -------->  0
            0   ---------->     á - ớ  -------->  0
            0   ---------->     á - ờ  -------->  0
            0   ---------->     á - ở  -------->  0
            0   ---------->     á - ỡ  -------->  0
            0   ---------->     á - ợ  -------->  0
            0   ---------->     á - ụ  -------->  0
            0   ---------->     á - ủ  -------->  0
            0   ---------->     á - ứ  -------->  0
            0   ---------->     á - ừ  -------->  0
            0   ---------->     á - ử  -------->  0
            0   ---------->     á - ữ  -------->  0
            0   ---------->     á - ự  -------->  0
            0   ---------->     á - ỳ  -------->  0
            0   ---------->     á - ỵ  -------->  0
            0   ---------->     á - ỷ  -------->  0
            0   ---------->     á - ỹ  -------->  0
            0   ---------->     â - a  -------->  0
            0   ---------->     â - b  -------->  0
            0   ---------->     â - c  -------->  0
            0   ---------->     â - d  -------->  0
            0   ---------->     â - e  -------->  0
            0   ---------->     â - g  -------->  0
            0   ---------->     â - h  -------->  0
            0   ---------->     â - i  -------->  0
            0   ---------->     â - k  -------->  0
            0   ---------->     â - l  -------->  0
            0   ---------->     â - o  -------->  0
            0   ---------->     â - p  -------->  0
            0   ---------->     â - q  -------->  0
            0   ---------->     â - r  -------->  0
            0   ---------->     â - s  -------->  0
            0   ---------->     â - t  -------->  0
            0   ---------->     â - v  -------->  0
            0   ---------->     â - x  -------->  0
            0   ---------->     â - à  -------->  0
            0   ---------->     â - á  -------->  0
            0   ---------->     â - â  -------->  0
            0   ---------->     â - ã  -------->  0
            0   ---------->     â - è  -------->  0
            0   ---------->     â - é  -------->  0
            0   ---------->     â - ê  -------->  0
            0   ---------->     â - ì  -------->  0
            0   ---------->     â - í  -------->  0
            0   ---------->     â - ò  -------->  0
            0   ---------->     â - ó  -------->  0
            0   ---------->     â - ô  -------->  0
            0   ---------->     â - õ  -------->  0
            0   ---------->     â - ù  -------->  0
            0   ---------->     â - ú  -------->  0
            0   ---------->     â - ý  -------->  0
            0   ---------->     â - ă  -------->  0
            0   ---------->     â - đ  -------->  0
            0   ---------->     â - ĩ  -------->  0
            0   ---------->     â - ũ  -------->  0
            0   ---------->     â - ơ  -------->  0
            0   ---------->     â - ư  -------->  0
            0   ---------->     â - ạ  -------->  0
            0   ---------->     â - ả  -------->  0
            0   ---------->     â - ấ  -------->  0
            0   ---------->     â - ầ  -------->  0
            0   ---------->     â - ẩ  -------->  0
            0   ---------->     â - ẫ  -------->  0
            0   ---------->     â - ậ  -------->  0
            0   ---------->     â - ắ  -------->  0
            0   ---------->     â - ằ  -------->  0
            0   ---------->     â - ẳ  -------->  0
            0   ---------->     â - ẵ  -------->  0
            0   ---------->     â - ặ  -------->  0
            0   ---------->     â - ẹ  -------->  0
            0   ---------->     â - ẻ  -------->  0
            0   ---------->     â - ẽ  -------->  0
            0   ---------->     â - ế  -------->  0
            0   ---------->     â - ề  -------->  0
            0   ---------->     â - ể  -------->  0
            0   ---------->     â - ễ  -------->  0
            0   ---------->     â - ệ  -------->  0
            0   ---------->     â - ỉ  -------->  0
            0   ---------->     â - ị  -------->  0
            0   ---------->     â - ọ  -------->  0
            0   ---------->     â - ỏ  -------->  0
            0   ---------->     â - ố  -------->  0
            0   ---------->     â - ồ  -------->  0
            0   ---------->     â - ổ  -------->  0
            0   ---------->     â - ỗ  -------->  0
            0   ---------->     â - ộ  -------->  0
            0   ---------->     â - ớ  -------->  0
            0   ---------->     â - ờ  -------->  0
            0   ---------->     â - ở  -------->  0
            0   ---------->     â - ỡ  -------->  0
            0   ---------->     â - ợ  -------->  0
            0   ---------->     â - ụ  -------->  0
            0   ---------->     â - ủ  -------->  0
            0   ---------->     â - ứ  -------->  0
            0   ---------->     â - ừ  -------->  0
            0   ---------->     â - ử  -------->  0
            0   ---------->     â - ữ  -------->  0
            0   ---------->     â - ự  -------->  0
            0   ---------->     â - ỳ  -------->  0
            0   ---------->     â - ỵ  -------->  0
            0   ---------->     â - ỷ  -------->  0
            0   ---------->     â - ỹ  -------->  0
            0   ---------->     ã - a  -------->  0
            0   ---------->     ã - b  -------->  0
            0   ---------->     ã - d  -------->  0
            0   ---------->     ã - e  -------->  0
            0   ---------->     ã - g  -------->  0
            0   ---------->     ã - h  -------->  0
            0   ---------->     ã - l  -------->  0
            0   ---------->     ã - p  -------->  0
            0   ---------->     ã - q  -------->  0
            0   ---------->     ã - r  -------->  0
            0   ---------->     ã - s  -------->  0
            0   ---------->     ã - u  -------->  0
            0   ---------->     ã - v  -------->  0
            0   ---------->     ã - x  -------->  0
            0   ---------->     ã - à  -------->  0
            0   ---------->     ã - á  -------->  0
            0   ---------->     ã - â  -------->  0
            0   ---------->     ã - ã  -------->  0
            0   ---------->     ã - è  -------->  0
            0   ---------->     ã - é  -------->  0
            0   ---------->     ã - ê  -------->  0
            0   ---------->     ã - ì  -------->  0
            0   ---------->     ã - í  -------->  0
            0   ---------->     ã - ò  -------->  0
            0   ---------->     ã - ó  -------->  0
            0   ---------->     ã - ô  -------->  0
            0   ---------->     ã - õ  -------->  0
            0   ---------->     ã - ù  -------->  0
            0   ---------->     ã - ú  -------->  0
            0   ---------->     ã - ý  -------->  0
            0   ---------->     ã - ă  -------->  0
            0   ---------->     ã - ĩ  -------->  0
            0   ---------->     ã - ũ  -------->  0
            0   ---------->     ã - ơ  -------->  0
            0   ---------->     ã - ư  -------->  0
            0   ---------->     ã - ạ  -------->  0
            0   ---------->     ã - ả  -------->  0
            0   ---------->     ã - ấ  -------->  0
            0   ---------->     ã - ầ  -------->  0
            0   ---------->     ã - ẩ  -------->  0
            0   ---------->     ã - ẫ  -------->  0
            0   ---------->     ã - ậ  -------->  0
            0   ---------->     ã - ắ  -------->  0
            0   ---------->     ã - ằ  -------->  0
            0   ---------->     ã - ẳ  -------->  0
            0   ---------->     ã - ẵ  -------->  0
            0   ---------->     ã - ặ  -------->  0
            0   ---------->     ã - ẹ  -------->  0
            0   ---------->     ã - ẻ  -------->  0
            0   ---------->     ã - ẽ  -------->  0
            0   ---------->     ã - ế  -------->  0
            0   ---------->     ã - ề  -------->  0
            0   ---------->     ã - ể  -------->  0
            0   ---------->     ã - ễ  -------->  0
            0   ---------->     ã - ệ  -------->  0
            0   ---------->     ã - ỉ  -------->  0
            0   ---------->     ã - ị  -------->  0
            0   ---------->     ã - ọ  -------->  0
            0   ---------->     ã - ỏ  -------->  0
            0   ---------->     ã - ố  -------->  0
            0   ---------->     ã - ồ  -------->  0
            0   ---------->     ã - ổ  -------->  0
            0   ---------->     ã - ỗ  -------->  0
            0   ---------->     ã - ộ  -------->  0
            0   ---------->     ã - ớ  -------->  0
            0   ---------->     ã - ờ  -------->  0
            0   ---------->     ã - ở  -------->  0
            0   ---------->     ã - ỡ  -------->  0
            0   ---------->     ã - ợ  -------->  0
            0   ---------->     ã - ụ  -------->  0
            0   ---------->     ã - ủ  -------->  0
            0   ---------->     ã - ứ  -------->  0
            0   ---------->     ã - ừ  -------->  0
            0   ---------->     ã - ử  -------->  0
            0   ---------->     ã - ữ  -------->  0
            0   ---------->     ã - ự  -------->  0
            0   ---------->     ã - ỳ  -------->  0
            0   ---------->     ã - ỵ  -------->  0
            0   ---------->     ã - ỷ  -------->  0
            0   ---------->     ã - ỹ  -------->  0
            0   ---------->     è - a  -------->  0
            0   ---------->     è - b  -------->  0
            0   ---------->     è - c  -------->  0
            0   ---------->     è - d  -------->  0
            0   ---------->     è - e  -------->  0
            0   ---------->     è - h  -------->  0
            0   ---------->     è - i  -------->  0
            0   ---------->     è - k  -------->  0
            0   ---------->     è - l  -------->  0
            0   ---------->     è - p  -------->  0
            0   ---------->     è - q  -------->  0
            0   ---------->     è - r  -------->  0
            0   ---------->     è - t  -------->  0
            0   ---------->     è - u  -------->  0
            0   ---------->     è - v  -------->  0
            0   ---------->     è - x  -------->  0
            0   ---------->     è - y  -------->  0
            0   ---------->     è - à  -------->  0
            0   ---------->     è - á  -------->  0
            0   ---------->     è - â  -------->  0
            0   ---------->     è - ã  -------->  0
            0   ---------->     è - è  -------->  0
            0   ---------->     è - é  -------->  0
            0   ---------->     è - ê  -------->  0
            0   ---------->     è - ì  -------->  0
            0   ---------->     è - í  -------->  0
            0   ---------->     è - ò  -------->  0
            0   ---------->     è - ó  -------->  0
            0   ---------->     è - ô  -------->  0
            0   ---------->     è - õ  -------->  0
            0   ---------->     è - ù  -------->  0
            0   ---------->     è - ú  -------->  0
            0   ---------->     è - ý  -------->  0
            0   ---------->     è - ă  -------->  0
            0   ---------->     è - đ  -------->  0
            0   ---------->     è - ĩ  -------->  0
            0   ---------->     è - ũ  -------->  0
            0   ---------->     è - ơ  -------->  0
            0   ---------->     è - ư  -------->  0
            0   ---------->     è - ạ  -------->  0
            0   ---------->     è - ả  -------->  0
            0   ---------->     è - ấ  -------->  0
            0   ---------->     è - ầ  -------->  0
            0   ---------->     è - ẩ  -------->  0
            0   ---------->     è - ẫ  -------->  0
            0   ---------->     è - ậ  -------->  0
            0   ---------->     è - ắ  -------->  0
            0   ---------->     è - ằ  -------->  0
            0   ---------->     è - ẳ  -------->  0
            0   ---------->     è - ẵ  -------->  0
            0   ---------->     è - ặ  -------->  0
            0   ---------->     è - ẹ  -------->  0
            0   ---------->     è - ẻ  -------->  0
            0   ---------->     è - ẽ  -------->  0
            0   ---------->     è - ế  -------->  0
            0   ---------->     è - ề  -------->  0
            0   ---------->     è - ể  -------->  0
            0   ---------->     è - ễ  -------->  0
            0   ---------->     è - ệ  -------->  0
            0   ---------->     è - ỉ  -------->  0
            0   ---------->     è - ị  -------->  0
            0   ---------->     è - ọ  -------->  0
            0   ---------->     è - ỏ  -------->  0
            0   ---------->     è - ố  -------->  0
            0   ---------->     è - ồ  -------->  0
            0   ---------->     è - ổ  -------->  0
            0   ---------->     è - ỗ  -------->  0
            0   ---------->     è - ộ  -------->  0
            0   ---------->     è - ớ  -------->  0
            0   ---------->     è - ờ  -------->  0
            0   ---------->     è - ở  -------->  0
            0   ---------->     è - ỡ  -------->  0
            0   ---------->     è - ợ  -------->  0
            0   ---------->     è - ụ  -------->  0
            0   ---------->     è - ủ  -------->  0
            0   ---------->     è - ứ  -------->  0
            0   ---------->     è - ừ  -------->  0
            0   ---------->     è - ử  -------->  0
            0   ---------->     è - ữ  -------->  0
            0   ---------->     è - ự  -------->  0
            0   ---------->     è - ỳ  -------->  0
            0   ---------->     è - ỵ  -------->  0
            0   ---------->     è - ỷ  -------->  0
            0   ---------->     è - ỹ  -------->  0
            0   ---------->     é - b  -------->  0
            0   ---------->     é - h  -------->  0
            0   ---------->     é - i  -------->  0
            0   ---------->     é - k  -------->  0
            0   ---------->     é - l  -------->  0
            0   ---------->     é - q  -------->  0
            0   ---------->     é - u  -------->  0
            0   ---------->     é - v  -------->  0
            0   ---------->     é - x  -------->  0
            0   ---------->     é - y  -------->  0
            0   ---------->     é - à  -------->  0
            0   ---------->     é - á  -------->  0
            0   ---------->     é - â  -------->  0
            0   ---------->     é - ã  -------->  0
            0   ---------->     é - è  -------->  0
            0   ---------->     é - é  -------->  0
            0   ---------->     é - ê  -------->  0
            0   ---------->     é - ì  -------->  0
            0   ---------->     é - í  -------->  0
            0   ---------->     é - ò  -------->  0
            0   ---------->     é - ó  -------->  0
            0   ---------->     é - ô  -------->  0
            0   ---------->     é - õ  -------->  0
            0   ---------->     é - ù  -------->  0
            0   ---------->     é - ú  -------->  0
            0   ---------->     é - ý  -------->  0
            0   ---------->     é - ă  -------->  0
            0   ---------->     é - đ  -------->  0
            0   ---------->     é - ĩ  -------->  0
            0   ---------->     é - ũ  -------->  0
            0   ---------->     é - ơ  -------->  0
            0   ---------->     é - ư  -------->  0
            0   ---------->     é - ạ  -------->  0
            0   ---------->     é - ả  -------->  0
            0   ---------->     é - ấ  -------->  0
            0   ---------->     é - ầ  -------->  0
            0   ---------->     é - ẩ  -------->  0
            0   ---------->     é - ẫ  -------->  0
            0   ---------->     é - ậ  -------->  0
            0   ---------->     é - ắ  -------->  0
            0   ---------->     é - ằ  -------->  0
            0   ---------->     é - ẳ  -------->  0
            0   ---------->     é - ẵ  -------->  0
            0   ---------->     é - ặ  -------->  0
            0   ---------->     é - ẹ  -------->  0
            0   ---------->     é - ẻ  -------->  0
            0   ---------->     é - ẽ  -------->  0
            0   ---------->     é - ế  -------->  0
            0   ---------->     é - ề  -------->  0
            0   ---------->     é - ể  -------->  0
            0   ---------->     é - ễ  -------->  0
            0   ---------->     é - ệ  -------->  0
            0   ---------->     é - ỉ  -------->  0
            0   ---------->     é - ị  -------->  0
            0   ---------->     é - ọ  -------->  0
            0   ---------->     é - ỏ  -------->  0
            0   ---------->     é - ố  -------->  0
            0   ---------->     é - ồ  -------->  0
            0   ---------->     é - ổ  -------->  0
            0   ---------->     é - ỗ  -------->  0
            0   ---------->     é - ộ  -------->  0
            0   ---------->     é - ớ  -------->  0
            0   ---------->     é - ờ  -------->  0
            0   ---------->     é - ở  -------->  0
            0   ---------->     é - ỡ  -------->  0
            0   ---------->     é - ợ  -------->  0
            0   ---------->     é - ụ  -------->  0
            0   ---------->     é - ủ  -------->  0
            0   ---------->     é - ứ  -------->  0
            0   ---------->     é - ừ  -------->  0
            0   ---------->     é - ử  -------->  0
            0   ---------->     é - ữ  -------->  0
            0   ---------->     é - ự  -------->  0
            0   ---------->     é - ỳ  -------->  0
            0   ---------->     é - ỵ  -------->  0
            0   ---------->     é - ỷ  -------->  0
            0   ---------->     é - ỹ  -------->  0
            0   ---------->     ê - a  -------->  0
            0   ---------->     ê - b  -------->  0
            0   ---------->     ê - c  -------->  0
            0   ---------->     ê - d  -------->  0
            0   ---------->     ê - e  -------->  0
            0   ---------->     ê - g  -------->  0
            0   ---------->     ê - h  -------->  0
            0   ---------->     ê - i  -------->  0
            0   ---------->     ê - k  -------->  0
            0   ---------->     ê - l  -------->  0
            0   ---------->     ê - o  -------->  0
            0   ---------->     ê - p  -------->  0
            0   ---------->     ê - q  -------->  0
            0   ---------->     ê - r  -------->  0
            0   ---------->     ê - s  -------->  0
            0   ---------->     ê - t  -------->  0
            0   ---------->     ê - v  -------->  0
            0   ---------->     ê - x  -------->  0
            0   ---------->     ê - y  -------->  0
            0   ---------->     ê - à  -------->  0
            0   ---------->     ê - á  -------->  0
            0   ---------->     ê - â  -------->  0
            0   ---------->     ê - ã  -------->  0
            0   ---------->     ê - è  -------->  0
            0   ---------->     ê - é  -------->  0
            0   ---------->     ê - ê  -------->  0
            0   ---------->     ê - ì  -------->  0
            0   ---------->     ê - í  -------->  0
            0   ---------->     ê - ò  -------->  0
            0   ---------->     ê - ó  -------->  0
            0   ---------->     ê - ô  -------->  0
            0   ---------->     ê - õ  -------->  0
            0   ---------->     ê - ù  -------->  0
            0   ---------->     ê - ú  -------->  0
            0   ---------->     ê - ý  -------->  0
            0   ---------->     ê - ă  -------->  0
            0   ---------->     ê - đ  -------->  0
            0   ---------->     ê - ĩ  -------->  0
            0   ---------->     ê - ũ  -------->  0
            0   ---------->     ê - ơ  -------->  0
            0   ---------->     ê - ư  -------->  0
            0   ---------->     ê - ạ  -------->  0
            0   ---------->     ê - ả  -------->  0
            0   ---------->     ê - ấ  -------->  0
            0   ---------->     ê - ầ  -------->  0
            0   ---------->     ê - ẩ  -------->  0
            0   ---------->     ê - ẫ  -------->  0
            0   ---------->     ê - ậ  -------->  0
            0   ---------->     ê - ắ  -------->  0
            0   ---------->     ê - ằ  -------->  0
            0   ---------->     ê - ẳ  -------->  0
            0   ---------->     ê - ẵ  -------->  0
            0   ---------->     ê - ặ  -------->  0
            0   ---------->     ê - ẹ  -------->  0
            0   ---------->     ê - ẻ  -------->  0
            0   ---------->     ê - ẽ  -------->  0
            0   ---------->     ê - ế  -------->  0
            0   ---------->     ê - ề  -------->  0
            0   ---------->     ê - ể  -------->  0
            0   ---------->     ê - ễ  -------->  0
            0   ---------->     ê - ệ  -------->  0
            0   ---------->     ê - ỉ  -------->  0
            0   ---------->     ê - ị  -------->  0
            0   ---------->     ê - ọ  -------->  0
            0   ---------->     ê - ỏ  -------->  0
            0   ---------->     ê - ố  -------->  0
            0   ---------->     ê - ồ  -------->  0
            0   ---------->     ê - ổ  -------->  0
            0   ---------->     ê - ỗ  -------->  0
            0   ---------->     ê - ộ  -------->  0
            0   ---------->     ê - ớ  -------->  0
            0   ---------->     ê - ờ  -------->  0
            0   ---------->     ê - ở  -------->  0
            0   ---------->     ê - ỡ  -------->  0
            0   ---------->     ê - ợ  -------->  0
            0   ---------->     ê - ụ  -------->  0
            0   ---------->     ê - ủ  -------->  0
            0   ---------->     ê - ứ  -------->  0
            0   ---------->     ê - ừ  -------->  0
            0   ---------->     ê - ử  -------->  0
            0   ---------->     ê - ữ  -------->  0
            0   ---------->     ê - ự  -------->  0
            0   ---------->     ê - ỳ  -------->  0
            0   ---------->     ê - ỵ  -------->  0
            0   ---------->     ê - ỷ  -------->  0
            0   ---------->     ê - ỹ  -------->  0
            0   ---------->     ì - b  -------->  0
            0   ---------->     ì - d  -------->  0
            0   ---------->     ì - e  -------->  0
            0   ---------->     ì - g  -------->  0
            0   ---------->     ì - i  -------->  0
            0   ---------->     ì - l  -------->  0
            0   ---------->     ì - o  -------->  0
            0   ---------->     ì - p  -------->  0
            0   ---------->     ì - r  -------->  0
            0   ---------->     ì - s  -------->  0
            0   ---------->     ì - v  -------->  0
            0   ---------->     ì - x  -------->  0
            0   ---------->     ì - y  -------->  0
            0   ---------->     ì - à  -------->  0
            0   ---------->     ì - á  -------->  0
            0   ---------->     ì - â  -------->  0
            0   ---------->     ì - ã  -------->  0
            0   ---------->     ì - è  -------->  0
            0   ---------->     ì - é  -------->  0
            0   ---------->     ì - ê  -------->  0
            0   ---------->     ì - ì  -------->  0
            0   ---------->     ì - í  -------->  0
            0   ---------->     ì - ò  -------->  0
            0   ---------->     ì - ó  -------->  0
            0   ---------->     ì - ô  -------->  0
            0   ---------->     ì - õ  -------->  0
            0   ---------->     ì - ù  -------->  0
            0   ---------->     ì - ú  -------->  0
            0   ---------->     ì - ý  -------->  0
            0   ---------->     ì - ă  -------->  0
            0   ---------->     ì - ĩ  -------->  0
            0   ---------->     ì - ũ  -------->  0
            0   ---------->     ì - ơ  -------->  0
            0   ---------->     ì - ư  -------->  0
            0   ---------->     ì - ạ  -------->  0
            0   ---------->     ì - ả  -------->  0
            0   ---------->     ì - ấ  -------->  0
            0   ---------->     ì - ầ  -------->  0
            0   ---------->     ì - ẩ  -------->  0
            0   ---------->     ì - ẫ  -------->  0
            0   ---------->     ì - ậ  -------->  0
            0   ---------->     ì - ắ  -------->  0
            0   ---------->     ì - ằ  -------->  0
            0   ---------->     ì - ẳ  -------->  0
            0   ---------->     ì - ẵ  -------->  0
            0   ---------->     ì - ặ  -------->  0
            0   ---------->     ì - ẹ  -------->  0
            0   ---------->     ì - ẻ  -------->  0
            0   ---------->     ì - ẽ  -------->  0
            0   ---------->     ì - ế  -------->  0
            0   ---------->     ì - ề  -------->  0
            0   ---------->     ì - ể  -------->  0
            0   ---------->     ì - ễ  -------->  0
            0   ---------->     ì - ệ  -------->  0
            0   ---------->     ì - ỉ  -------->  0
            0   ---------->     ì - ị  -------->  0
            0   ---------->     ì - ọ  -------->  0
            0   ---------->     ì - ỏ  -------->  0
            0   ---------->     ì - ố  -------->  0
            0   ---------->     ì - ồ  -------->  0
            0   ---------->     ì - ổ  -------->  0
            0   ---------->     ì - ỗ  -------->  0
            0   ---------->     ì - ộ  -------->  0
            0   ---------->     ì - ớ  -------->  0
            0   ---------->     ì - ờ  -------->  0
            0   ---------->     ì - ở  -------->  0
            0   ---------->     ì - ỡ  -------->  0
            0   ---------->     ì - ợ  -------->  0
            0   ---------->     ì - ụ  -------->  0
            0   ---------->     ì - ủ  -------->  0
            0   ---------->     ì - ứ  -------->  0
            0   ---------->     ì - ừ  -------->  0
            0   ---------->     ì - ử  -------->  0
            0   ---------->     ì - ữ  -------->  0
            0   ---------->     ì - ự  -------->  0
            0   ---------->     ì - ỳ  -------->  0
            0   ---------->     ì - ỵ  -------->  0
            0   ---------->     ì - ỷ  -------->  0
            0   ---------->     ì - ỹ  -------->  0
            0   ---------->     í - b  -------->  0
            0   ---------->     í - d  -------->  0
            0   ---------->     í - e  -------->  0
            0   ---------->     í - g  -------->  0
            0   ---------->     í - h  -------->  0
            0   ---------->     í - i  -------->  0
            0   ---------->     í - k  -------->  0
            0   ---------->     í - l  -------->  0
            0   ---------->     í - o  -------->  0
            0   ---------->     í - q  -------->  0
            0   ---------->     í - r  -------->  0
            0   ---------->     í - s  -------->  0
            0   ---------->     í - v  -------->  0
            0   ---------->     í - x  -------->  0
            0   ---------->     í - y  -------->  0
            0   ---------->     í - à  -------->  0
            0   ---------->     í - á  -------->  0
            0   ---------->     í - â  -------->  0
            0   ---------->     í - ã  -------->  0
            0   ---------->     í - è  -------->  0
            0   ---------->     í - é  -------->  0
            0   ---------->     í - ê  -------->  0
            0   ---------->     í - ì  -------->  0
            0   ---------->     í - í  -------->  0
            0   ---------->     í - ò  -------->  0
            0   ---------->     í - ó  -------->  0
            0   ---------->     í - ô  -------->  0
            0   ---------->     í - õ  -------->  0
            0   ---------->     í - ù  -------->  0
            0   ---------->     í - ú  -------->  0
            0   ---------->     í - ý  -------->  0
            0   ---------->     í - ă  -------->  0
            0   ---------->     í - đ  -------->  0
            0   ---------->     í - ĩ  -------->  0
            0   ---------->     í - ũ  -------->  0
            0   ---------->     í - ơ  -------->  0
            0   ---------->     í - ư  -------->  0
            0   ---------->     í - ạ  -------->  0
            0   ---------->     í - ả  -------->  0
            0   ---------->     í - ấ  -------->  0
            0   ---------->     í - ầ  -------->  0
            0   ---------->     í - ẩ  -------->  0
            0   ---------->     í - ẫ  -------->  0
            0   ---------->     í - ậ  -------->  0
            0   ---------->     í - ắ  -------->  0
            0   ---------->     í - ằ  -------->  0
            0   ---------->     í - ẳ  -------->  0
            0   ---------->     í - ẵ  -------->  0
            0   ---------->     í - ặ  -------->  0
            0   ---------->     í - ẹ  -------->  0
            0   ---------->     í - ẻ  -------->  0
            0   ---------->     í - ẽ  -------->  0
            0   ---------->     í - ế  -------->  0
            0   ---------->     í - ề  -------->  0
            0   ---------->     í - ể  -------->  0
            0   ---------->     í - ễ  -------->  0
            0   ---------->     í - ệ  -------->  0
            0   ---------->     í - ỉ  -------->  0
            0   ---------->     í - ị  -------->  0
            0   ---------->     í - ọ  -------->  0
            0   ---------->     í - ỏ  -------->  0
            0   ---------->     í - ố  -------->  0
            0   ---------->     í - ồ  -------->  0
            0   ---------->     í - ổ  -------->  0
            0   ---------->     í - ỗ  -------->  0
            0   ---------->     í - ộ  -------->  0
            0   ---------->     í - ớ  -------->  0
            0   ---------->     í - ờ  -------->  0
            0   ---------->     í - ở  -------->  0
            0   ---------->     í - ỡ  -------->  0
            0   ---------->     í - ợ  -------->  0
            0   ---------->     í - ụ  -------->  0
            0   ---------->     í - ủ  -------->  0
            0   ---------->     í - ứ  -------->  0
            0   ---------->     í - ừ  -------->  0
            0   ---------->     í - ử  -------->  0
            0   ---------->     í - ữ  -------->  0
            0   ---------->     í - ự  -------->  0
            0   ---------->     í - ỳ  -------->  0
            0   ---------->     í - ỵ  -------->  0
            0   ---------->     í - ỷ  -------->  0
            0   ---------->     í - ỹ  -------->  0
            0   ---------->     ò - b  -------->  0
            0   ---------->     ò - c  -------->  0
            0   ---------->     ò - d  -------->  0
            0   ---------->     ò - g  -------->  0
            0   ---------->     ò - h  -------->  0
            0   ---------->     ò - k  -------->  0
            0   ---------->     ò - l  -------->  0
            0   ---------->     ò - o  -------->  0
            0   ---------->     ò - p  -------->  0
            0   ---------->     ò - q  -------->  0
            0   ---------->     ò - r  -------->  0
            0   ---------->     ò - s  -------->  0
            0   ---------->     ò - u  -------->  0
            0   ---------->     ò - v  -------->  0
            0   ---------->     ò - x  -------->  0
            0   ---------->     ò - y  -------->  0
            0   ---------->     ò - à  -------->  0
            0   ---------->     ò - á  -------->  0
            0   ---------->     ò - â  -------->  0
            0   ---------->     ò - ã  -------->  0
            0   ---------->     ò - è  -------->  0
            0   ---------->     ò - é  -------->  0
            0   ---------->     ò - ê  -------->  0
            0   ---------->     ò - ì  -------->  0
            0   ---------->     ò - í  -------->  0
            0   ---------->     ò - ò  -------->  0
            0   ---------->     ò - ó  -------->  0
            0   ---------->     ò - ô  -------->  0
            0   ---------->     ò - õ  -------->  0
            0   ---------->     ò - ù  -------->  0
            0   ---------->     ò - ú  -------->  0
            0   ---------->     ò - ý  -------->  0
            0   ---------->     ò - ă  -------->  0
            0   ---------->     ò - ĩ  -------->  0
            0   ---------->     ò - ũ  -------->  0
            0   ---------->     ò - ơ  -------->  0
            0   ---------->     ò - ư  -------->  0
            0   ---------->     ò - ạ  -------->  0
            0   ---------->     ò - ả  -------->  0
            0   ---------->     ò - ấ  -------->  0
            0   ---------->     ò - ầ  -------->  0
            0   ---------->     ò - ẩ  -------->  0
            0   ---------->     ò - ẫ  -------->  0
            0   ---------->     ò - ậ  -------->  0
            0   ---------->     ò - ắ  -------->  0
            0   ---------->     ò - ằ  -------->  0
            0   ---------->     ò - ẳ  -------->  0
            0   ---------->     ò - ẵ  -------->  0
            0   ---------->     ò - ặ  -------->  0
            0   ---------->     ò - ẹ  -------->  0
            0   ---------->     ò - ẻ  -------->  0
            0   ---------->     ò - ẽ  -------->  0
            0   ---------->     ò - ế  -------->  0
            0   ---------->     ò - ề  -------->  0
            0   ---------->     ò - ể  -------->  0
            0   ---------->     ò - ễ  -------->  0
            0   ---------->     ò - ệ  -------->  0
            0   ---------->     ò - ỉ  -------->  0
            0   ---------->     ò - ị  -------->  0
            0   ---------->     ò - ọ  -------->  0
            0   ---------->     ò - ỏ  -------->  0
            0   ---------->     ò - ố  -------->  0
            0   ---------->     ò - ồ  -------->  0
            0   ---------->     ò - ổ  -------->  0
            0   ---------->     ò - ỗ  -------->  0
            0   ---------->     ò - ộ  -------->  0
            0   ---------->     ò - ớ  -------->  0
            0   ---------->     ò - ờ  -------->  0
            0   ---------->     ò - ở  -------->  0
